Model,Test Accuracy,Loss,Macro F1,Weighted F1
Baseline CNN,0.6198257207870483,1.7685959339141846,0.6155358055003296,0.6186889209468488
VGG16,0.6906318068504333,0.845086932182312,0.7054725710607394,0.6905798573035334
ResNet50,0.6688452959060669,0.8037251830101013,0.6860409688521101,0.6653939673524614
VGG16 Fine Tuned,0.9008714556694031,0.4740232825279236,0.905424275469543,0.8999407097687625
ResNet50 Fine Tuned,0.8660130500793457,0.35627979040145874,0.8759478536034442,0.8659508582868537
